Symbol,Company,Sector,InstiBuyCr,InstiSellCr,NetCr,Buys,Sells,Institutions,ActiveDays,Status
ATHERENERG,Ather Energy Limited,Automobile and Auto Components,445.31,3516.48,-3071.17,1,2,2,2,DISTRIBUTING
WELCORP,Welspun Corp Limited,Capital Goods,451.34,2730.36,-2279.02,16,2,14,1,DISTRIBUTING
APOLLOTYRE,Apollo Tyres Limited,Automobile and Auto Components,2249.9,0.0,2249.9,5,0,3,1,ACCUMULATING
LAURUSLABS,Laurus Labs Limited,Healthcare,2.86,1735.73,-1732.87,1,2,2,1,DISTRIBUTING
ETERNAL,ETERNAL LIMITED,Consumer Services,2.06,1670.86,-1668.8,1,1,1,1,DISTRIBUTING
LENSKART,Lenskart Solutions Limited,Consumer Services,3465.24,1806.19,1659.05,24,3,20,2,ACCUMULATING
FOSECOIND,Foseco India Limited,,1291.26,0.0,1291.26,16,0,8,1,ACCUMULATING
VIYASH,Viyash Scientific Limited,,749.34,1861.18,-1111.84,8,12,8,1,DISTRIBUTING
MEESHO,Meesho Limited,Consumer Services,854.61,0.0,854.61,18,0,17,1,ACCUMULATING
WELSPUNLIV,Welspun Living Limited,Textiles,804.99,0.0,804.99,3,0,3,1,ACCUMULATING
ASTRAL,Astral Limited,Capital Goods,780.66,6.1,774.56,2,1,2,1,ACCUMULATING
PWL,Physicswallah Limited,Consumer Services,737.88,1099.46,-361.58,10,2,10,1,DISTRIBUTING
NORTHARC,Northern Arc Capital Limited,,128.59,430.34,-301.75,4,6,5,1,DISTRIBUTING
RUBICON,Rubicon Research Limited,,280.0,0.0,280.0,2,0,1,1,ACCUMULATING
BALKRISIND,Balkrishna Industries Limited,Automobile and Auto Components,232.69,0.0,232.69,1,0,1,1,ACCUMULATING
STAR,Strides Pharma Science Limited,,0.0,198.0,-198.0,0,2,1,1,DISTRIBUTING
GAJA,Gaja Alt Asset Mgt Ltd,,314.54,167.22,147.32,10,7,8,1,ACCUMULATING
OPTIEMUS,Optiemus Infracom Limited,,144.31,0.0,144.31,1,0,1,1,ACCUMULATING
GENUSPOWER,Genus Power Infrastructures Limited,,142.24,0.0,142.24,2,0,1,1,ACCUMULATING
SPAL,S. P. Apparels Limited,,92.5,0.0,92.5,2,0,1,1,ACCUMULATING
ULTRAMAR,Ultramarine & Pigments Limited,,60.8,0.0,60.8,2,0,1,1,ACCUMULATING
SETL,Standard Engineering Technology Limited,,0.0,47.13,-47.13,0,1,1,1,DISTRIBUTING
MARINE,Marine Electricals (India) Limited,,112.8,68.75,44.05,3,2,3,1,ACCUMULATING
PCJEWELLER,PC Jeweller Limited,,385.13,342.39,42.74,5,5,2,3,ACCUMULATING
SBICARD,SBI Cards and Payment Services Limited,Financial Services,632.07,664.72,-32.65,1,2,3,1,DISTRIBUTING
INDOTHAI,Indo Thai Securities Limited,,67.66,39.35,28.31,3,3,3,1,ACCUMULATING
RATNAVEER,Ratnaveer Precision Engineering Limited,,413.63,437.22,-23.59,18,19,5,7,DISTRIBUTING
SSRETAIL,SS Retail Limited,,558.78,572.85,-14.07,7,7,7,1,DISTRIBUTING
RAMBHAJO,Advit Jewels Limited,,204.08,190.65,13.43,18,16,9,4,ACCUMULATING
WEL,Wonder Electricals Limited,,464.02,450.78,13.24,12,12,11,2,ACCUMULATING
FMGOETZE,Federal-Mogul Goetze (India) Limited.,,714.04,700.84,13.2,20,20,7,4,ACCUMULATING
ANANTAM,Anantam Highways Trust,,12.5,0.0,12.5,1,0,1,1,ACCUMULATING
HEROMOTORS,Hero Motors Limited,,177.06,189.49,-12.43,4,4,4,1,DISTRIBUTING
SUNSHINE,Sunshine Pictures Limited,,432.28,420.11,12.17,21,21,9,5,ACCUMULATING
COMSYN,Commercial Syn Bags Limited,,16.4,28.24,-11.84,3,3,1,3,DISTRIBUTING
TCC,TCC Concept Limited,,7.35,17.83,-10.48,1,2,2,1,DISTRIBUTING
GLASSWALL,Glass Wall System (I) Ltd,,262.79,272.86,-10.07,8,8,8,1,DISTRIBUTING
QUADFUTURE,Quadrant Future Tek Limited,,321.14,311.11,10.03,11,11,9,2,ACCUMULATING
BALRAMCHIN,Balrampur Chini Mills Limited,Fast Moving Consumer Goods,529.38,520.56,8.82,4,4,4,1,ACCUMULATING
RAYMONDREL,Raymond Realty Limited,,115.72,108.17,7.55,3,3,3,1,ACCUMULATING
GCSL,Gretex Corporate Services Limited,,40.0,32.81,7.19,4,4,1,4,ACCUMULATING
MVELECTRO,MV Electrosystems Limited,,871.34,864.19,7.15,20,20,8,3,ACCUMULATING
IRISDOREME,Iris Clothings Limited,,6.59,0.0,6.59,1,0,1,1,ACCUMULATING
TEJASNET,Tejas Networks Limited,Telecommunication,513.47,507.49,5.98,6,6,6,1,ACCUMULATING
BALUFORGE,Balu Forge Industries Limited,,77.13,71.68,5.45,2,2,2,1,ACCUMULATING
FASCINATE,Fascinate Textiles Ltd,,6.47,1.11,5.36,3,1,3,3,ACCUMULATING
ARIS,Arisinfra Solutions Limited,,7.24,2.2,5.04,1,1,1,1,ACCUMULATING
VINCOFE,Vintage Coffee And Beverages Limited,,17.05,12.14,4.91,1,1,1,1,ACCUMULATING
AQYLON,Aqylon Nexus Limited,,0.0,4.53,-4.53,0,1,1,1,DISTRIBUTING
RAYMOND,Raymond Limited,,89.92,94.17,-4.25,2,2,2,1,DISTRIBUTING
